Date,FIPS,County,Democrat - Active,Republican - Active,Libertarian - Active,No Party - Active,Other - Active,Total - Active,Democrat - Inactive,Republican - Inactive,Libertarian - Inactive,No Party - Inactive,Other - Inactive,Total - Inactive,Grand Total,Primary Lat Dec,Primary Long Dec,Primary County Coordinates
03/01/2015 12:00:00 AM,19001,Adair,"1,041","1,906",,"2,032",8,"4,987",66,61,,157,0,284,"5,271",41.3307464,-94.4709413,"(41.3307464, -94.4709413)"
03/01/2015 12:00:00 AM,19003,Adams,608,965,,"1,165",3,"2,741",27,29,,100,0,156,"2,897",41.0289839,-94.6991849,"(41.0289839, -94.6991849)"
03/01/2015 12:00:00 AM,19005,Allamakee,"2,132","4,196",,"3,192",10,"9,530",102,122,,192,0,416,"9,946",43.2842838,-91.3780923,"(43.2842838, -91.3780923)"
03/01/2015 12:00:00 AM,19007,Appanoose,"2,437","2,793",,"3,007",7,"8,244",212,179,,364,0,755,"8,999",40.7431635,-92.8686104,"(40.7431635, -92.8686104)"
03/01/2015 12:00:00 AM,19009,Audubon,"1,228","1,540",,"1,393",8,"4,169",41,51,,106,0,198,"4,367",41.6845893,-94.9058222,"(41.6845893, -94.9058222)"
03/01/2015 12:00:00 AM,19011,Benton,"4,295","4,979",,"7,491",33,"16,798",261,191,,561,3,"1,016","17,814",42.0801864,-92.0656912,"(42.0801864, -92.0656912)"
03/01/2015 12:00:00 AM,19013,Black Hawk,"28,502","20,284",,"31,471",334,"80,591","1,793",971,,"2,226",31,"5,021","85,612",42.4700957,-92.3088197,"(42.4700957, -92.3088197)"
03/01/2015 12:00:00 AM,19015,Boone,"5,129","5,447",,"7,035",49,"17,660",220,252,,490,2,964,"18,624",42.0365493,-93.931671,"(42.0365493, -93.931671)"
03/01/2015 12:00:00 AM,19017,Bremer,"3,608","4,960",,"7,451",38,"16,057",193,191,,467,4,855,"16,912",42.7745873,-92.3180548,"(42.7745873, -92.3180548)"
03/01/2015 12:00:00 AM,19019,Buchanan,"3,662","3,063",,"6,410",16,"13,151",179,126,,425,0,730,"13,881",42.4707777,-91.8378392,"(42.4707777, -91.8378392)"
03/01/2015 12:00:00 AM,19021,Buena Vista,"2,872","3,994",,"4,704",19,"11,589",119,144,,196,1,460,"12,049",42.7354936,-95.151149,"(42.7354936, -95.151149)"
03/01/2015 12:00:00 AM,19023,Butler,"1,676","4,462",,"3,471",12,"9,621",81,94,,180,0,355,"9,976",42.7315661,-92.7901934,"(42.7315661, -92.7901934)"
03/01/2015 12:00:00 AM,19025,Calhoun,"1,337","2,349",,"2,643",14,"6,343",83,94,,207,3,387,"6,730",42.3851848,-94.6404136,"(42.3851848, -94.6404136)"
03/01/2015 12:00:00 AM,19027,Carroll,"3,887","3,875",,"6,142",47,"13,951",201,191,,552,3,947,"14,898",42.0362382,-94.8605593,"(42.0362382, -94.8605593)"
03/01/2015 12:00:00 AM,19029,Cass,"1,525","4,693",,"3,001",13,"9,232",107,221,,300,0,628,"9,860",41.3314876,-94.9278266,"(41.3314876, -94.9278266)"
03/01/2015 12:00:00 AM,19031,Cedar,"3,076","3,657",,"4,641",28,"11,402",150,126,,284,2,562,"11,964",41.7723207,-91.1324125,"(41.7723207, -91.1324125)"
03/01/2015 12:00:00 AM,19033,Cerro Gordo,"8,996","7,900",,"12,450",50,"29,396",550,371,,"1,043",2,"1,966","31,362",43.0815577,-93.2608184,"(43.0815577, -93.2608184)"
03/01/2015 12:00:00 AM,19035,Cherokee,"1,824","3,156",,"3,010",18,"8,008",135,166,,353,2,656,"8,664",42.7356226,-95.6238055,"(42.7356226, -95.6238055)"
03/01/2015 12:00:00 AM,19037,Chickasaw,"2,656","2,183",,"3,551",12,"8,402",133,107,,280,1,521,"8,923",43.0600414,-92.3176637,"(43.0600414, -92.3176637)"
03/01/2015 12:00:00 AM,19039,Clarke,"1,506","1,769",,"2,225",10,"5,510",110,122,,254,1,487,"5,997",41.0290323,-93.7851579,"(41.0290323, -93.7851579)"
03/01/2015 12:00:00 AM,19041,Clay,"2,353","4,464",,"4,204",13,"11,034",235,249,,439,0,923,"11,957",43.0825804,-95.1509194,"(43.0825804, -95.1509194)"
03/01/2015 12:00:00 AM,19043,Clayton,"3,305","3,286",,"4,784",23,"11,398",123,109,,226,2,460,"11,858",42.8447493,-91.3414328,"(42.8447493, -91.3414328)"
03/01/2015 12:00:00 AM,19045,Clinton,"10,025","7,195",,"13,163",47,"30,430","1,214",520,,"1,693",6,"3,433","33,863",41.8980358,-90.5319724,"(41.8980358, -90.5319724)"
03/01/2015 12:00:00 AM,19047,Crawford,"2,582","3,119",,"3,460",7,"9,168",121,92,,223,0,436,"9,604",42.0372125,-95.3819678,"(42.0372125, -95.3819678)"
03/01/2015 12:00:00 AM,19049,Dallas,"10,215","16,852",,"19,293",142,"46,502",940,"1,447",,"2,225",11,"4,623","51,125",41.6848862,-94.0397374,"(41.6848862, -94.0397374)"
03/01/2015 12:00:00 AM,19051,Davis,"1,814","1,508",,"1,432",3,"4,757",111,64,,157,1,333,"5,090",40.7476891,-92.4097173,"(40.7476891, -92.4097173)"
03/01/2015 12:00:00 AM,19053,Decatur,"1,395","1,556",,"1,489",10,"4,450",56,40,,63,0,159,"4,609",40.7376827,-93.7862815,"(40.7376827, -93.7862815)"
03/01/2015 12:00:00 AM,19055,Delaware,"2,485","3,790",,"4,993",4,"11,272",77,96,,171,0,344,"11,616",42.471211,-91.3673502,"(42.471211, -91.3673502)"
03/01/2015 12:00:00 AM,19057,Des Moines,"10,898","5,973",,"8,675",55,"25,601",704,404,,860,5,"1,973","27,574",40.9231829,-91.1814707,"(40.9231829, -91.1814707)"
03/01/2015 12:00:00 AM,19059,Dickinson,"2,349","5,066",,"4,484",25,"11,924",125,196,,280,3,604,"12,528",43.3779848,-95.1508301,"(43.3779848, -95.1508301)"
03/01/2015 12:00:00 AM,19061,Dubuque,"24,835","15,022",,"22,674",192,"62,723","1,386",836,,"1,686",19,"3,927","66,650",42.468832,-90.8824564,"(42.468832, -90.8824564)"
03/01/2015 12:00:00 AM,19063,Emmet,"1,902","1,626",,"2,824",8,"6,360",216,150,,485,1,852,"7,212",43.3780225,-94.6784803,"(43.3780225, -94.6784803)"
03/01/2015 12:00:00 AM,19065,Fayette,"3,510","3,917",,"4,218",34,"11,679",191,120,,279,3,593,"12,272",42.8625919,-91.8443207,"(42.8625919, -91.8443207)"
03/01/2015 12:00:00 AM,19067,Floyd,"3,069","2,584",,"4,745",12,"10,410",153,102,,284,3,542,"10,952",43.0599208,-92.7890033,"(43.0599208, -92.7890033)"
