Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.53125,26.59375,25.3125,25.46875,21.638187,385000
2000-01-04,25.25,25.875,24.96875,25.1875,21.399233,767400
2000-01-05,25.15625,26.1875,24.96875,26.09375,22.169179999999997,375000
2000-01-06,26.0,27.03125,26.0,26.65625,22.647076000000002,1267200
2000-01-07,26.625,27.46875,26.625,27.34375,23.231176,405400
2000-01-10,27.21875,27.4375,26.78125,26.90625,22.859478,310200
2000-01-11,26.78125,27.34375,26.78125,26.84375,22.806379,309800
2000-01-12,26.8125,26.8125,26.3125,26.375,22.408133,245400
2000-01-13,26.28125,27.25,26.28125,26.65625,22.647076000000002,472400
2000-01-14,26.6875,26.6875,25.59375,26.15625,22.222277,323800
2000-01-18,26.1875,26.1875,24.5,24.90625,21.160282000000002,726200
2000-01-19,24.9375,24.9375,24.1875,24.59375,20.894789000000003,1031800
2000-01-20,24.5,24.5,23.9375,24.0,20.473577,353000
2000-01-21,24.3125,24.5,23.5,23.78125,20.286982000000002,325200
2000-01-24,23.75,23.8125,21.96875,22.875,19.513882000000002,1444000
2000-01-25,23.1875,23.5625,22.78125,23.53125,20.073711,1216800
2000-01-26,23.28125,23.65625,21.78125,22.0,18.767452,1960600
2000-01-27,23.0,23.0,22.375,22.5,19.193987,493600
2000-01-28,22.75,23.21875,22.59375,22.8125,19.46056,922400
2000-01-31,22.5,22.5,21.8125,22.375,19.087351,717400
2000-02-01,22.5,22.8125,22.28125,22.625,19.300629,299400
2000-02-02,22.625,23.21875,22.15625,22.5625,19.247301,457000
2000-02-03,22.4375,23.21875,22.28125,23.0,19.620523000000002,738400
2000-02-04,23.375,23.6875,22.625,22.71875,19.380596,629200
2000-02-07,22.8125,22.8125,22.1875,22.21875,18.954060000000002,501000
2000-02-08,22.3125,22.34375,21.375,21.5625,18.394236,548200
2000-02-09,21.625,22.125,21.25,21.46875,18.314255,556000
2000-02-10,21.5,21.5,20.3125,20.625,17.594481,824800
2000-02-11,20.875,20.875,20.03125,20.1875,17.221268,688600
2000-02-14,20.3125,20.8125,20.3125,20.65625,17.621149,779000
2000-02-15,20.625,20.96875,20.34375,20.8125,17.754438,759600
2000-02-16,20.6875,20.78125,20.1875,20.28125,17.301239000000002,1021200
2000-02-17,20.28125,20.625,20.0625,20.46875,17.461192999999998,490400
2000-02-18,20.40625,20.46875,19.90625,19.96875,17.034664000000003,766200
2000-02-22,20.0,20.125,19.3125,19.65625,16.768074,588800
2000-02-23,19.5625,19.5625,19.0,19.0625,16.261572,690600
2000-02-24,19.0,19.5,18.625,19.125,16.314888,997200
2000-02-25,19.125,19.71875,19.0625,19.1875,16.368195,509600
2000-02-28,19.1875,19.875,19.0625,19.625,16.741415,479000
2000-02-29,19.53125,19.90625,19.375,19.75,16.848057,691600
2000-03-01,19.84375,19.90625,19.59375,19.84375,16.928024,521600
2000-03-02,19.84375,20.0,19.75,19.9375,17.008003,593600
2000-03-03,19.9375,20.34375,19.6875,20.3125,17.327907999999997,627600
2000-03-06,20.0625,20.0625,18.90625,19.25,16.421528,670200
2000-03-07,19.125,19.125,17.5,17.625,15.035293,701400
2000-03-08,17.75,17.84375,17.53125,17.71875,15.115257999999999,1060200
2000-03-09,17.84375,18.75,17.5625,18.71875,15.968323999999999,852600
2000-03-10,18.71875,18.75,18.21875,18.40625,15.701745,360000
2000-03-13,18.1875,18.5625,18.0,18.0625,15.408504,601000
2000-03-14,18.1875,18.375,17.875,18.28125,15.595108999999999,304400
2000-03-15,18.0,19.25,18.0,19.21875,16.394855,821600
2000-03-16,19.21875,20.21875,19.21875,19.96875,17.034664000000003,1081800
2000-03-17,19.4375,20.75,19.40625,20.3125,17.327907999999997,1256000
2000-03-20,20.5625,21.0,20.5625,20.65625,17.621149,934600
2000-03-21,20.65625,20.6875,19.9375,20.53125,17.514509,434000
2000-03-22,20.5,20.625,19.9375,20.25,17.274591,472800
2000-03-23,20.25,20.34375,19.59375,20.21875,17.247932000000002,682800
2000-03-24,20.09375,20.25,19.90625,19.9375,17.008003,569000
2000-03-27,19.8125,19.96875,19.375,19.8125,16.901377,398200
2000-03-28,19.78125,19.8125,19.3125,19.4375,16.581463,481600
2000-03-29,19.3125,19.625,18.9375,18.96875,16.181591,761400
2000-03-30,19.0625,19.09375,18.78125,18.9375,16.15494,410200
2000-03-31,18.9375,19.625,18.84375,19.34375,16.501493,981400
2000-04-03,19.4375,20.09375,19.40625,19.59375,16.714754,535800
2000-04-04,19.59375,20.5625,19.59375,20.28125,17.301239000000002,906400
2000-04-05,20.25,21.125,20.25,20.71875,17.674464999999998,845200
2000-04-06,20.90625,20.9375,20.40625,20.46875,17.461192999999998,505400
2000-04-07,20.46875,20.65625,20.25,20.4375,17.434532,501600
2000-04-10,20.4375,20.84375,20.375,20.71875,17.674464999999998,390600
2000-04-11,20.75,21.34375,20.6875,21.09375,17.99436,493000
2000-04-12,21.15625,21.78125,21.125,21.40625,18.260944,593800
2000-04-13,21.5,22.125,21.375,21.53125,18.367584,491200
2000-04-14,21.5,21.53125,20.4375,20.84375,17.781088,355200
2000-04-17,20.3125,20.40625,19.5,19.5,16.634785,1119800
2000-04-18,19.53125,20.71875,19.5,20.625,17.594481,559200
2000-04-19,21.25,21.65625,20.625,20.6875,17.647806,819800
2000-04-20,20.6875,20.875,20.25,20.46875,17.461192999999998,379000
2000-04-24,20.4375,21.4375,20.3125,21.3125,18.180975,1030800
2000-04-25,21.4375,22.1875,21.40625,22.15625,18.900745,744200
2000-04-26,22.125,22.125,21.34375,21.5625,18.394236,495200
2000-04-27,20.5,21.75,20.5,21.75,18.640629,822800
2000-04-28,21.75,22.03125,21.40625,21.78125,18.667406,484200
2000-05-01,21.375,22.0,21.21875,21.625,18.533506,482600
2000-05-02,21.5,21.71875,21.21875,21.21875,18.185329,239400
2000-05-03,21.34375,21.34375,20.71875,20.875,17.890726,261200
2000-05-04,20.5625,21.46875,20.5625,21.3125,18.26568,576200
2000-05-05,21.25,21.6875,21.25,21.5,18.426382,469400
2000-05-08,21.375,21.4375,21.125,21.40625,18.346027,297800
2000-05-09,21.3125,21.84375,21.3125,21.78125,18.667406,291600
2000-05-10,21.78125,22.84375,21.625,22.53125,19.310194,542000
2000-05-11,22.5,22.9375,22.375,22.90625,19.631584,628200
2000-05-12,22.8125,22.8125,21.84375,22.15625,18.988815,353600
2000-05-15,22.21875,22.5,22.0,22.15625,18.988815,448400
2000-05-16,22.28125,22.28125,21.9375,22.0,18.854895000000003,234200
2000-05-17,22.0,22.3125,21.71875,22.15625,18.988815,368600
2000-05-18,22.0,22.6875,22.0,22.53125,19.310194,372200
2000-05-19,22.4375,22.5,21.9375,22.0625,18.908461,316400
2000-05-22,22.125,22.5625,22.03125,22.5,19.283419,430000
2000-05-23,22.5,22.875,22.40625,22.5625,19.336987,524000
2000-05-24,22.6875,23.625,22.6875,23.5,20.14045,581000
2000-05-25,23.46875,23.46875,22.59375,22.625,19.390543,498800
2000-05-26,22.75,23.5,22.375,22.53125,19.310194,521400
2000-05-30,22.5,23.25,22.5,23.25,19.926189,373400
2000-05-31,23.3125,23.3125,22.625,22.8125,19.551233,325000
2000-06-01,22.8125,23.125,22.6875,22.9375,19.658369,397400
2000-06-02,22.8125,22.8125,21.6875,21.6875,18.58707,370600
2000-06-05,21.6875,22.46875,21.40625,22.1875,19.015593,330000
2000-06-06,22.125,22.1875,21.75,21.75,18.640629,337400
2000-06-07,21.875,22.0625,21.09375,21.09375,18.078201,547400
