Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,47.625,47.6875,45.1875,45.9375,33.614677,334100.0
2000-01-04,45.75,46.0,44.5625,44.625,32.654266,216500.0
2000-01-05,44.375,45.25,44.375,45.25,33.111614,277100.0
2000-01-06,45.0,45.125,44.75,45.0625,32.974415,206300.0
2000-01-07,42.5,45.75,41.25,44.375,32.471336,1686300.0
2000-01-10,44.625,46.3125,43.5625,46.3125,33.889095000000005,562100.0
2000-01-11,46.0625,48.875,45.625,48.5,35.489803,942300.0
2000-01-12,48.4375,50.75,48.4375,50.125,36.678886,1412800.0
2000-01-13,50.5,52.0,50.25,52.0,38.050922,892200.0
2000-01-14,52.75,56.25,52.75,55.625,40.703506,1107900.0
2000-01-18,55.625,55.6875,53.625,54.625,39.971752,582300.0
2000-01-19,53.875,54.875,53.6875,54.875,40.154701,305500.0
2000-01-20,55.0,55.25,53.875,54.625,39.971752,534900.0
2000-01-21,53.375,54.25,53.375,54.0625,39.56015,537000.0
2000-01-24,54.0625,54.5,54.0,54.1875,39.651615,890100.0
2000-01-25,54.1875,54.25,49.5,51.4375,37.639324,796300.0
2000-01-26,50.4375,51.375,49.875,50.375,36.861839,617500.0
2000-01-27,50.4375,52.0,49.25,50.25,36.770348,426300.0
2000-01-28,50.0,50.0625,48.125,48.125,35.215385,374800.0
2000-01-31,48.25,49.4375,47.0625,47.9375,35.078196999999996,595600.0
2000-02-01,48.0,48.0,46.625,46.9375,34.346439000000004,541300.0
2000-02-02,47.0,47.8125,47.0,47.4375,34.712311,479100.0
2000-02-03,47.0,48.875,45.875,47.5,34.875675,695900.0
2000-02-04,47.375,48.3125,47.0,48.0,35.242794,301400.0
2000-02-07,47.75,48.25,47.625,48.0,35.242794,204400.0
2000-02-08,48.0,48.25,47.8125,48.0,35.242794,318100.0
2000-02-09,48.375,49.0,47.625,48.75,35.793453,664300.0
2000-02-10,48.625,50.125,48.4375,50.125,36.803020000000004,683400.0
2000-02-11,50.0,51.6875,48.875,51.5625,37.858475,628700.0
2000-02-14,51.625,53.0625,51.375,52.8125,38.776249,718000.0
2000-02-15,52.8125,52.8125,50.75,51.0,37.445477000000004,433700.0
2000-02-16,51.0,51.0,49.6875,50.5625,37.124237,490900.0
2000-02-17,50.625,50.625,49.8125,49.9375,36.665344,371500.0
2000-02-18,49.25,49.5,47.0,47.625,34.967471999999994,260000.0
2000-02-22,47.75,47.75,45.5,46.75,34.32502,345300.0
2000-02-23,47.0,47.5,46.0,47.125,34.600338,217500.0
2000-02-24,46.5,46.625,45.0625,45.75,33.590778,340800.0
2000-02-25,45.6875,45.6875,42.25,43.3125,31.801121000000002,646100.0
2000-02-28,43.4375,43.8125,41.75,43.5,31.938774,510800.0
2000-02-29,43.625,44.0625,42.625,42.8125,31.434,453700.0
2000-03-01,42.375,42.375,40.8125,42.0,30.837433,422500.0
2000-03-02,41.75,41.75,39.6875,39.6875,29.139546999999997,376000.0
2000-03-03,39.6875,41.25,39.4375,40.5625,29.781997999999998,429900.0
2000-03-06,41.0,41.0,39.8125,40.4375,29.690208000000002,479300.0
2000-03-07,40.875,41.0,38.8125,38.875,28.542994,415300.0
2000-03-08,38.25,38.25,37.25,37.75,27.716976000000003,707200.0
2000-03-09,37.625,40.4375,37.25,40.4375,29.690208000000002,656800.0
2000-03-10,40.4375,40.4375,38.5,39.625,29.093657,460900.0
2000-03-13,39.625,39.75,38.0,38.8125,28.497107,245100.0
2000-03-14,40.5,45.8125,40.375,45.5,33.407234,1053400.0
2000-03-15,45.5,49.125,44.375,46.9375,34.462680999999996,1258500.0
2000-03-16,48.0,51.0625,47.9375,51.0,37.445477000000004,1091100.0
2000-03-17,51.0625,51.875,49.875,50.4375,37.032463,921900.0
2000-03-20,50.1875,51.75,49.4375,50.25,36.894783000000004,618600.0
2000-03-21,50.0,51.9375,50.0,51.875,38.087914000000005,486100.0
2000-03-22,52.0,52.9375,51.0625,52.875,38.822151,437500.0
